"gene_id","CD0-ND0","CD3-ND3","CD4-ND4"
"ATU_RS03365","None","None","None"
"ATU_RS03370","None","None","None"
"ATU_RS03375","None","Down","None"
"ATU_RS03380","None","None","None"
"ATU_RS03385","None","None","Up"
"ATU_RS03390","None","None","None"
"ATU_RS03395","None","None","None"
"ATU_RS03400","None","Up","None"
"ATU_RS03405","None","Up","None"
"ATU_RS03410","None","None","None"
"ATU_RS03415","None","None","None"
"ATU_RS03420","None","Down","None"
"ATU_RS03425","None","Up","Up"
"ATU_RS03430","None","Up","Up"
"ATU_RS03435","None","None","None"
"ATU_RS03440","None","None","None"
"ATU_RS03445","None","None","Up"
"ATU_RS03450","None","None","None"
"ATU_RS03455","None","None","None"
"ATU_RS03460","None","None","None"
"ATU_RS03465","None","None","None"
"ATU_RS03470","None","None","None"
"ATU_RS03475","None","None","None"
"ATU_RS03480","None","Up","Up"
"ATU_RS03485","None","None","None"
"ATU_RS03490","None","None","None"
"ATU_RS03495","None","None","None"
"ATU_RS03500","None","None","Up"
"ATU_RS03510","None","None","None"
"ATU_RS03515","None","None","None"
"ATU_RS03520","None","Down","Down"
"ATU_RS03525","None","Down","Down"
"ATU_RS03530","None","Down","Down"
"ATU_RS03535","None","Down","Down"
"ATU_RS03540","None","None","None"
"ATU_RS03545","None","None","None"
"ATU_RS03550","None","Up","Up"
"ATU_RS03555","None","None","None"
"ATU_RS03560","None","None","None"
"ATU_RS03565","None","None","None"
"ATU_RS03570","None","Up","None"
"ATU_RS03575","None","Down","None"
"ATU_RS03580","None","Up","Up"
"ATU_RS03585","None","None","Up"
"ATU_RS03590","None","Down","Down"
"ATU_RS03595","None","None","None"
"ATU_RS03600","None","Up","None"
"ATU_RS03605","None","Up","Up"
"ATU_RS03610","None","None","None"
"ATU_RS03615","None","None","None"
"ATU_RS03620","None","None","None"
"ATU_RS03625","None","None","None"
"ATU_RS03630","None","None","None"
"ATU_RS03635","None","None","None"
"ATU_RS03640","None","Up","Up"
"ATU_RS03645","None","Down","None"
"ATU_RS03650","None","Down","None"
"ATU_RS03655","None","None","None"
"ATU_RS03660","None","Up","Up"
"ATU_RS03665","None","None","None"
"ATU_RS03670","None","None","None"
"ATU_RS03675","None","None","None"
"ATU_RS03680","None","None","Up"
"ATU_RS03685","None","Down","None"
"ATU_RS03690","None","None","None"
"ATU_RS03695","None","Up","Up"
"ATU_RS03700","None","Up","None"
"ATU_RS03705","None","None","None"
"ATU_RS03710","None","Down","None"
"ATU_RS03715","None","None","None"
"ATU_RS03720","None","None","None"
"ATU_RS03725","None","None","None"
"ATU_RS03730","None","None","None"
"ATU_RS03735","None","None","None"
"ATU_RS03740","None","Up","None"
"ATU_RS03745","None","None","None"
"ATU_RS03750","None","None","Down"
"ATU_RS03755","None","Up","None"
"ATU_RS03760","None","None","None"
"ATU_RS03765","None","None","None"
"ATU_RS03770","None","Down","None"
